hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,4,174.02,172.81
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,5,175.83,173.57
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,6,176.54,173.92
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,7,177.51,174.78
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,8,178.09,175.53
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,9,178.11,176.01
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,10,178.62,176.96
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,11,178.57,177.77
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2003,12,178.62,178.69
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,1,177.57,178.44
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,2,179.33,179.95
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,3,180.49,180.20
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,4,182.09,180.77
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,5,183.98,181.44
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,6,185.15,182.24
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,7,185.89,182.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,8,186.38,183.53
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,9,185.98,183.74
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,10,186.35,184.62
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,11,186.14,185.41
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2004,12,185.70,185.92
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,1,185.69,186.82
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,2,185.34,186.12
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,3,187.79,187.60
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,4,189.75,188.37
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,5,191.37,188.53
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,6,192.21,188.93
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,7,192.65,189.40
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,8,192.82,189.65
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,9,193.44,191.10
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,10,193.20,191.49
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,11,192.14,191.51
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2005,12,191.05,191.49
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,1,190.62,192.00
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,2,191.03,191.96
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,3,192.19,192.10
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,4,194.34,192.98
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,5,195.70,192.54
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,6,195.58,191.95
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,7,195.60,192.13
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,8,195.00,191.61
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,9,194.18,191.76
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,10,192.94,191.30
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,11,191.20,190.58
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2006,12,190.81,191.48
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,1,190.79,192.40
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,2,190.47,191.55
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,3,191.51,191.64
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,4,192.07,190.83
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,5,193.30,189.89
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,6,193.42,189.56
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,7,191.87,188.27
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,8,191.24,187.68
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,9,188.71,186.29
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,10,186.55,184.96
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,11,184.83,184.04
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2007,12,182.27,183.10
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,1,180.09,181.82
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,2,180.22,181.45
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,3,179.96,180.45
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,4,179.67,178.67
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,5,180.50,177.11
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,6,180.52,176.67
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,7,178.98,175.36
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,8,177.97,174.47
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,9,174.04,171.67
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,10,172.89,171.39
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,11,169.31,168.23
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2008,12,167.67,168.56
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,1,169.82,171.77
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,2,169.18,170.62
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,3,168.29,169.17
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,4,168.51,167.73
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,5,172.42,169.03
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,6,171.62,167.69
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,7,170.31,166.55
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,8,169.82,166.23
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,9,169.10,166.64
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,10,167.47,165.92
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,11,168.31,166.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2009,12,164.00,164.98
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,1,162.59,164.80
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,2,162.07,163.80
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,3,163.01,164.20
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,4,164.74,164.06
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,5,167.79,164.37
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,6,166.52,162.42
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,7,165.62,161.54
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,8,165.79,162.05
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,9,162.87,160.22
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,10,164.10,162.50
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,11,162.84,161.30
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2010,12,158.15,159.19
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,1,156.43,158.88
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,2,155.22,157.28
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,3,152.89,154.22
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,4,155.30,154.62
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,5,158.63,155.35
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,6,160.43,156.24
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,7,161.96,157.63
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,8,159.56,155.75
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,9,159.16,156.41
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,10,156.87,155.31
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,11,158.68,157.22
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2011,12,155.64,156.77
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,1,153.27,155.91
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,2,153.48,155.80
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,3,155.50,156.87
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,4,158.66,157.78
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,5,162.24,158.88
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,6,163.59,159.05
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,7,163.75,159.05
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,8,163.96,159.92
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,9,163.18,160.23
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,10,162.34,160.83
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,11,161.42,160.13
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2012,12,159.47,160.70
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,1,159.39,162.33
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,2,160.20,162.80
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,3,163.05,164.24
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,4,166.41,165.26
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,5,169.38,165.89
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,6,171.81,166.79
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,7,173.00,167.90
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,8,172.46,168.14
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,9,171.76,168.68
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,10,170.28,168.80
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,11,169.65,168.68
"traditional","purchase-only","monthly","USA or Census Division","East North Central Division","DV_ENC",2013,12,168.93,170.32
