SAPCE3 Personal consumption expenditures (PCE) by state by type of product 1
SAPCE3 Personal consumption expenditures (PCE) by state by type of product 1
State or DC
GeoFips,GeoName,LineCode,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
06000,California,66,"          Hospitals",32783.3,35509.8,37339.9,39397.3,43582.3,47583.3,50777.9,54660.2,58031.5,61859.7,65447.9,70037.4,74657.7,80833.3,86290.5,89498.4,94968.4,98204.7,108398.6,113058.1,115668.1,125141.2,133343.6,125841.4,140799.7,147486.9,158745.6
06000,California,67,"          Nursing homes",5309.6,5698.7,5764.9,6359.8,6964.6,7403.9,7949.1,8297.1,8818.7,9534.5,10285.3,11291.7,12457.2,13432.5,13979.7,14637.3,14675.4,15387.3,15653.4,16399.9,16492.1,17277.3,18483.5,17550.4,18324.0,19785.5,22605.7
06000,California,68,"      Transportation services",34134.2,35682.0,38324.3,42198.3,42166.7,40752.0,41776.7,44322.6,48201.0,52571.2,56112.6,56143.0,52213.4,53374.8,56541.2,60152.6,61858.9,63719.4,63632.9,66254.7,68704.5,74899.6,80091.2,58786.4,73217.0,89093.4,96003.8
06000,California,69,"        Motor vehicle services",24775.3,25622.4,27805.7,30185.3,31225.4,30552.9,31168.3,33249.1,36724.4,40574.0,43618.0,43167.3,39783.3,39978.3,40968.1,43259.8,43319.4,44026.9,44333.1,45288.2,45674.6,47442.3,48704.3,43953.9,49962.3,54964.0,56938.8
06000,California,70,"          Motor vehicle maintenance and repair",13455.6,14167.8,15011.7,16325.8,17367.1,18087.3,18635.9,19297.8,20356.7,20571.0,21163.8,20023.6,18245.0,18513.8,19467.7,20444.8,20691.8,21545.2,21878.4,23317.0,24573.1,25767.5,26368.3,24254.8,28501.5,33224.9,34863.7
06000,California,71,"          Other motor vehicle services",11319.8,11454.7,12794.0,13859.4,13858.3,12465.7,12532.4,13951.3,16367.7,20003.0,22454.2,23143.7,21538.3,21464.5,21500.4,22815.0,22627.6,22481.7,22454.7,21971.1,21101.5,21674.8,22336.0,19699.1,21460.8,21739.1,22075.1
06000,California,72,"        Public transportation",9358.9,10059.6,10518.7,12013.0,10941.3,10199.1,10608.4,11073.5,11476.5,11997.3,12494.6,12975.7,12430.0,13396.4,15573.1,16892.8,18539.5,19692.4,19299.8,20966.5,23029.9,27457.4,31386.8,14832.5,23254.7,34129.4,39065.0
06000,California,73,"          Ground transportation",1791.5,2005.0,2118.3,2357.2,2551.7,2574.6,2611.1,2730.2,3002.3,3291.0,3383.7,3449.0,3246.9,3295.4,3593.3,3836.8,4185.6,4549.5,4934.7,6652.3,7744.5,10626.5,12631.1,8112.8,9491.4,12179.4,14483.6
06000,California,74,"          Air transportation",7288.3,7756.4,8080.4,9293.2,8011.8,7257.2,7611.5,7937.8,8062.1,8287.4,8678.0,9119.3,8806.5,9730.2,11636.9,12711.8,13959.0,14702.7,13879.9,13788.4,14667.5,16138.2,18028.5,6276.8,13056.7,20992.4,23569.8
06000,California,75,"          Water transportation",279.1,298.2,319.9,362.6,377.7,367.4,385.8,405.5,412.2,418.8,432.9,407.5,376.7,370.9,342.9,344.2,394.9,440.3,485.2,525.9,617.9,692.6,727.2,442.8,706.5,957.6,1011.6
06000,California,76,"      Recreation services",32603.2,33556.5,37465.9,39793.2,41428.9,41556.2,45980.2,51269.2,55344.6,59760.1,64026.9,65655.2,63567.9,66941.7,68010.6,71805.8,74545.0,78287.2,83784.8,89389.0,94763.9,98673.5,104572.5,71719.7,89492.6,111205.1,125363.8
06000,California,77,"        Membership clubs, sports centers, parks, theaters, and museums",15413.9,15522.8,16004.2,16462.4,18095.3,17875.9,20182.7,21588.0,23516.9,25447.6,27791.0,29240.1,28708.6,30308.4,31285.0,33379.2,35755.7,38302.8,42124.0,46087.5,49222.1,52456.5,56777.9,30400.0,39943.9,56058.3,66119.4
06000,California,78,"        Audio-video, photographic, and information processing equipment services",6962.5,7607.9,8671.9,9459.4,9790.1,9855.5,10472.5,11665.6,12041.9,12805.2,13814.2,14261.1,14509.6,15196.0,15031.3,16063.5,15942.3,16047.0,16451.8,16610.4,16049.4,15829.2,16209.2,15929.5,17137.4,17872.6,17894.2
06000,California,79,"        Gambling",7576.2,7631.8,9540.4,10318.5,10144.7,10305.5,11628.5,13940.5,15326.1,16641.2,16954.1,16319.9,14868.7,15492.6,15837.2,16105.7,16328.1,16775.1,17478.4,18152.8,19560.5,19693.0,20297.0,16812.3,22325.0,24149.7,26087.7
06000,California,80,"        Other recreational services",2650.6,2794.0,3249.4,3552.9,3398.7,3519.2,3696.5,4075.2,4459.7,4866.1,5467.6,5834.1,5481.0,5944.8,5857.1,6257.5,6518.8,7162.4,7730.6,8538.3,9931.9,10694.7,11288.4,8578.0,10086.3,13124.4,15262.5
06000,California,81,"      Food services and accommodations",42657.6,45679.5,47558.7,51641.5,53704.2,56143.9,59695.4,64960.1,70091.0,75794.9,81142.0,83974.3,80492.7,82479.7,86579.9,91215.5,95666.0,103901.0,114268.0,122962.3,129965.1,138914.1,149133.8,122653.4,158038.2,187036.7,202174.2
06000,California,82,"        Food services",36814.3,39383.7,41135.1,44465.3,46836.0,49174.9,51805.1,55456.3,59234.4,63378.6,67333.7,69440.3,66748.8,68102.3,71526.1,75140.6,78438.5,85114.6,93623.4,101187.3,106760.2,114578.2,122308.3,103728.2,132009.7,153921.5,166927.6
06000,California,83,"          Purchased meals and beverages",35965.9,38512.2,40228.4,43527.3,45869.7,48171.5,50712.9,54289.5,57928.2,61873.4,65744.0,67823.0,65077.8,66491.3,69764.5,73331.2,76524.0,83028.7,91332.9,98613.5,103998.1,111688.3,119325.6,101184.3,129240.4,150611.0,163304.7
06000,California,84,"          Food furnished to employees (including military)",848.3,871.5,906.7,938.0,966.3,1003.4,1092.2,1166.8,1306.2,1505.2,1589.7,1617.4,1671.0,1611.0,1761.6,1809.4,1914.5,2085.9,2290.5,2573.8,2762.1,2889.9,2982.8,2543.9,2769.4,3310.5,3622.9
06000,California,85,"        Accommodations",5843.3,6295.9,6423.7,7176.2,6868.2,6969.0,7890.3,9503.8,10856.6,12416.3,13808.3,14533.9,13743.9,14377.4,15053.8,16074.9,17227.6,18786.4,20644.6,21775.0,23204.9,24335.9,26825.5,18925.1,26028.5,33115.2,35246.6
06000,California,86,"      Financial services and insurance",51494.5,56229.6,61330.3,68958.0,67324.6,68537.5,73097.3,79235.2,87469.7,94602.1,101015.5,103039.9,94773.5,100022.3,105186.4,108098.4,113552.9,120746.2,127824.9,130428.3,140218.2,147973.0,149292.9,151841.0,166620.7,174380.0,187458.6
06000,California,87,"        Financial services",30544.7,33990.2,38050.3,43733.4,41504.2,42315.0,44978.4,49070.0,54179.6,60193.1,65336.2,67534.7,61329.0,64155.9,67636.0,71834.9,76295.3,79842.9,85227.2,87327.8,94100.0,98313.5,101236.3,103102.0,114707.7,120639.1,130110.2
06000,California,88,"          Financial services furnished without payment",16528.0,17610.3,18441.5,20530.7,19790.6,19868.5,21643.5,23885.8,26651.1,28962.5,31128.4,31344.3,26999.0,29368.6,30106.9,30600.9,32715.4,34653.4,39704.3,41446.6,45242.9,46955.0,47617.3,47192.6,51877.9,58986.3,67802.2
